title;descr;price;year;km;transmission;location;date_posted;link;date_imported;Tipo;Marca;Modelo;Comuna;Region;Pais
Changan;"Changan Alsvin
Año 2021
Kilometraje 22000 aprox...
Con todas sus mantenciones al día.
Poco uso.
A toda prueba...
Valor $7.400.000 conversable.";7400000.0;2021;22000.0;Manual  ;La Florida,  Región Metropolitana; Ayer a las 20:25;https://www.yapo.cl/vehiculos/changan_88306066;04-10-2023 3:12;SUV;CHANGAN;ALSVIN;La Florida; Región Metropolitana;CHINA
Changan cx70 2018;Unico dueño. Solo tiene 40.840 kms. Radio pantalla, cámara trasera, cámara espejo lateral (punto ciego), sensores traseros y delanteros, sonrooff, aire acondicionado, alza vidrios en las 4 puertas, cierre centralizado, alarma original del vehículo, llantas, motor impecable 1.6 c.c., tres corridas de asientos, 2 llaves. A TODA PRUEBA;7800000.0;2018;40840.0;Manual  ;Viña del Mar,  V Valparaíso; Ayer a las 19:24;https://www.yapo.cl/vehiculos/changan-cx70-2018_88288794;04-10-2023 3:12;SUV;CHANGAN;CX70;Viña del Mar; V Valparaíso;CHINA
Changan cx70 2019;"Sunroof 
Eco cuero 
Tres corridas de asiento 
A/C 
Radio táctil 
Camara de retroceso 
Camara lateral 
Sensores de estacionamiento
Único dueño 
111.071km";7800000.0;2019;112000.0;Manual  ;Chillán,  XVI Ñuble; Ayer a las 15:18;https://www.yapo.cl/vehiculos/changan-cx70-2019_88303399;04-10-2023 3:12;SUV;CHANGAN;CX70;Chillán; XVI Ñuble;CHINA
Changan uni-t 2022;SEMINUEVOS GILDEMEISTER LOS ÁNGELES +56954247950 / Nicolás Almendras Rojas;17480000.0;2022;4489.0;Automático  ;Los Ángeles,  VIII Biobío; Ayer a las 15:12;https://www.yapo.cl/vehiculos/changan-uni-t-2022_88303287;04-10-2023 3:12;SUV;CHANGAN;UNI-T;Los Ángeles; VIII Biobío;CHINA
Changan hunter diesel 4x4 2023/full equipo/prenda;"CHANGAN HUNTER  DIESEL 4X4 2023// FULL EQUIPO// PRENDA
$ 13.480.000

DOCUMENTOS AL DIA
AIRE ACONDICIONADO
DIESEL
4X4
BOTN DE ENCENDIDO
CAJA SEXTA
PANTALLA TOUCH
CAMARA DE RETROCESO
KILOMETRO : 200
LLANTAS
TAPIZ DE CUERO
DOS COPIAS DE LLAVES

Somos la mejor alternativa, compramos todo tipo de vehículos, automóviles, camioneta, furgones, camiones, motos u otros vehículos.
Con ESCRITURA PUBLICA compramos directo a dueños y no a terceros. Entregamos seguridad y confiabilidad al comprar y vender.
EVITA PROBLEMAS, todos los trámites de compra y venta se realizan en notaría, bajo ESCRITURA PÚBLICA.
Ofertas serías y un buen respaldo.
Somos ALFAUTOS compramos vehículos en prenda, deuda o multas. VIAJAMOS A REGIONES
Somos ALFAUTOS vendemos vehículos en prenda
- LOCAL ESTABLECIDO EN SANTIAGO.
DIRECCION :
AVENIDA JOSE JOAQUIN PRIETO VIAL 5770 SAN MIGUEL
*LLAMADOS Y WHATSAPP*
+56 9 32512259
+56 9 32512258";13480000.0;2023;200.0;Manual  ;Santiago,  Región Metropolitana; Ayer a las 14:51;https://www.yapo.cl/vehiculos/changan-hunter-diesel-4x4-2023full-equipoprenda_88303063;04-10-2023 3:12;SUV;CHANGAN;HUNTER;Santiago; Región Metropolitana;CHINA
Changan cs55 plus elite 2023 8000km;"IDEAL CONTACTO POR WHATSAPP

Changan cs 55 plus elite
Año 2023
9500km
papeles hasta marzo 2024
Versión elite, la más full aprox sale 22m con papeles
extras tiene Láminas de seguridad certificadas
cámara 360°, DVR incluido con tarjeta de memoria
Puedo PERMUTAR por algún 4x4, incluso dar diferencia, pero solo 4x4, la vendo ya que necesito un vehículo de ese tipo";18500000.0;2023;8000.0;Automático  ;Pudahuel,  Región Metropolitana; Ayer a las 13:57;https://www.yapo.cl/vehiculos/changan-cs55-plus-elite-2023-8000km_87440451;04-10-2023 3:12;SUV;CHANGAN;CS55;Pudahuel; Región Metropolitana;CHINA
Changan cs75 2018;Este CHANGAN CS75 2018 esta garantizado por Autopia:Si no te gusta, puedes devolverlo en 7 dias o 300 km. Valido por 6 meses. Respaldo Derco. Consulta con nuestros ejecutivos por financiamiento para este auto;9690000.0;2018;34594.0;Manual  ;Huechuraba,  Región Metropolitana; Ayer a las 12:15;https://www.yapo.cl/vehiculos/changan-cs75-2018_88015365;04-10-2023 3:12;SUV;CHANGAN;CS75;Huechuraba; Región Metropolitana;CHINA
Changan m201 2022;"Compra tu auto 100% online. Despachos dentro de la RM y Regiones. Solicita más información.

 En Excelente Estado.
 1 Dueño.
 2 Llaves.
 No Cuenta con Servicios Realizados al Día.

Contáctanos y agenda tu visita.
Motor 1.200cc.
Transmisión Mecánica.
Radio Bluetooth/USB/AUX.
Aire Acondicionado.
Espejos Retrovisores Eléctricos.
Dirección Asistida.

Tarjeta de credito y financiamiento con un 20% de pie.
Recibimos tu auto.
visita tevendemoselauto.cl";8750000.0;2022;2000.0;Manual  ;Vitacura,  Región Metropolitana; Ayer a las 12:08;https://www.yapo.cl/vehiculos/changan-m201-2022_85310127;04-10-2023 3:12;SUV;CHANGAN;M201;Vitacura; Región Metropolitana;CHINA
Changan cs15 2018;Unico dueño, Aire acondicionado. Controles al Volante. Airbags. Recibimos tu auto en parte de pago. Evaluamos financiamiento en solo 20 minutos, Entrega inmediata. Garantía Mecánica Inalcar, parte del Grupo Automotriz Inalco;7490000.0;2018;71500.0;Manual  ;La Florida,  Región Metropolitana; Ayer a las 11:25;https://www.yapo.cl/vehiculos/changan-cs15-2018_88247829;04-10-2023 3:12;SUV;CHANGAN;CS15;La Florida; Región Metropolitana;CHINA
Automóvil changan cv1;"Motor 1.000 cc
Cierre centralizado 
Alza vidrios eléctricos 
Documentación al día 
Sin partes ni multas 
Transferencia inmediata 
Solo llamadas
Algo conversable";3900000.0;2014;80000.0;Manual  ;La Serena,  IV Coquimbo; Ayer a las 10:44;https://www.yapo.cl/vehiculos/automovil-changan-cv1_88171167;04-10-2023 3:12;SUV;CHANGAN;CV1;La Serena; IV Coquimbo;CHINA
