Link,Modelo,Precio,KM,Transmisión,AT3,AT4
/vehiculos/detalles/2021-ssangyong-korando-1-5t-lx/CP-AD-8260653/?Cr=0,2021 SsangYong Korando 1.5T LX,13980000.0,17000.0,Manual,Bencina,14.1 Kms/Lt.
/vehiculos/detalles/2021-ssangyong-korando-1-5t-auto-glx/CP-AD-8262011/?Cr=1,2021 SsangYong Korando 1.5T Auto GLX,19490000.0,10000.0,Automática,Bencina,14.1 Kms/Lt.
/vehiculos/detalles/ssangyong-korando-2021-new-limited-1-5t-6at-2wd-6ab/GI-AD-473774/?Cr=2,SSANGYONG KORANDO 2021 NEW  LIMITED 1.5T 6AT 2WD 6AB,18490000.0,47000.0,Automática,Bencina,N/A
/vehiculos/detalles/ssangyong-korando-2021-1-5-mt/GI-AD-480905/?Cr=3,SsangYong Korando 2021 1.5 mt,13490000.0,50000.0,Manual,Bencina,N/A
/vehiculos/detalles/2021-ssangyong-korando/CL-AD-15083710/?Cr=4,2021 SsangYong Korando,15900000.0,31000.0,Manual,Bencina,N/A
/vehiculos/detalles/2021-ssangyong-korando-1-5-auto-cl-cg110/CL-AD-13737668/?Cr=5,2021 SsangYong Korando 1.5 Auto Cl CG110,19000000.0,25000.0,Automática,Bencina,14.1 Kms/Lt.
/vehiculos/detalles/2021-ssangyong-korando-1-5t-auto-glx/CL-AD-13484881/?Cr=6,2021 SsangYong Korando 1.5T Auto GLX,17990000.0,29000.0,Automática,Bencina,14.1 Kms/Lt.
/vehiculos/detalles/2021-ssangyong-korando/CL-AD-15611250/?Cr=7,2021 SsangYong Korando,18490000.0,26000.0,Automática,Bencina,N/A
/vehiculos/detalles/ssangyong-korando-2021-1-5-lx-cg100-mt-5p/GI-AD-439529/?Cr=8,SsangYong Korando 2021 1.5 LX CG100 MT 5P,13290000.0,18619.0,Manual,Bencina,N/A
/vehiculos/detalles/2021-ssangyong-korando-1-5t-auto-glx/CP-AD-8234652/?Cr=9,2021 SsangYong Korando 1.5T Auto GLX,15990000.0,24100.0,Automática,Bencina,14.1 Kms/Lt.
/vehiculos/detalles/ssangyong-korando-2021-new-glx-1-5t-6at-2wd-6ab/GI-AD-452827/?Cr=10,SSANGYONG KORANDO 2021 NEW  GLX 1.5T 6AT 2WD 6AB,16790000.0,47405.0,Automática,Bencina,N/A
/vehiculos/detalles/ssangyong-korando-2021-new-lx-1-5t-6mt-2wd/GI-AD-480474/?Cr=11,SSANGYONG KORANDO 2021 NEW  LX 1.5T 6MT 2WD,14390000.0,39562.0,Manual,Bencina,N/A
/vehiculos/detalles/ssangyong-korando-2021-glx-mt-1-5/GI-AD-414893/?Cr=12,SsangYong Korando 2021 GLX MT 1.5,15990000.0,38065.0,Manual,Bencina,N/A
/vehiculos/detalles/ssangyong-korando-2021-limited-1-5t-6at-2wd-6ab/GI-AD-418117/?Cr=13,SsangYong Korando 2021 LIMITED 1.5T 6AT 2WD 6AB,17790000.0,21000.0,Automática,Bencina,N/A
/vehiculos/detalles/2021-ssangyong-korando-1-5-6ab-cg110/CL-AD-13486645/?Cr=14,2021 SsangYong Korando 1.5 6AB CG110,17000000.0,19800.0,Manual,Bencina,14.1 Kms/Lt.
/vehiculos/detalles/2021-ssangyong-korando-1-5t-auto-limited/CL-AD-14620859/?Cr=15,2021 SsangYong Korando 1.5T Auto Limited,18190000.0,21000.0,Automática,Bencina,14.1 Kms/Lt.
/vehiculos/detalles/2021-ssangyong-korando/CL-AD-13283042/?Cr=16,2021 SsangYong Korando,18500000.0,22480.0,Manual,Bencina,N/A
/vehiculos/detalles/2021-ssangyong-korando-1-5-cg100/CL-AD-14552418/?Cr=17,2021 SsangYong Korando 1.5 CG100,16000000.0,28000.0,Manual,Bencina,14.1 Kms/Lt.
/vehiculos/detalles/2021-ssangyong-korando-1-5t-lx/CL-AD-13149625/?Cr=18,2021 SsangYong Korando 1.5T LX,17800000.0,13000.0,Manual,Bencina,14.1 Kms/Lt.
