Modelo;Marca;Tipo
3;MG;Hatchback
207;PEUGEOT;Hatchback
208;PEUGEOT;Hatchback
308;PEUGEOT;Sedán
700;RAM;Pick-up
2008;PEUGEOT;SUV
3008;PEUGEOT;SUV
ACCENT;HYUNDAI;Sedán
ALL NEW 3;MAZDA;Hatchback
ALSVIN;CHANGAN;SUV
AMAROK;VOLKSWAGEN;Pick-up
ARGO;FIAT;Hatchback
AVEO;CHEVROLET;Sedán
BALENO;SUZUKI;Hatchback
BT-50;MAZDA;Pick-up
C3;CITROEN;Hatchback
C4 CACTUS;CITROEN;SUV
C5 AIRCROSS;CITROEN;SUV
CAPTUR;RENAULT;SUV
CELERIO;SUZUKI;Hatchback
C-ELYSáE;CITROEN;Sedán
COLORADO;CHEVROLET;Pick-up
COMPASS;JEEP;SUV
COROLLA;TOYOTA;Sedán
COROLLA CROSS;TOYOTA;SUV
CRETA;HYUNDAI;SUV
CRONOS;FIAT;Sedán
CX-3;MAZDA;SUV
CX-30;MAZDA;SUV
CX-5;MAZDA;SUV
CX-50;MAZDA;SUV
DUSTER;RENAULT;SUV
DZIRE;SUZUKI;Hatchback
ECOSPORT;FORD;SUV
ESCAPE;FORD;SUV
F-150;FORD;Pick-up
FIORINO;FIAT;Van
FORESTER;SUBARU;SUV
GOL;VOLKSWAGEN;Hatchback
GROOVE;CHEVROLET;SUV
H6;HAVAL;SUV
HB20;HYUNDAI;Hatchback
HILUX;TOYOTA;Pick-up
HR-V;HONDA;SUV
HUNTER;CHANGAN;Pick-up
I-10;HYUNDAI;Hatchback
JIMNY;SUZUKI;SUV
JOLION;HAVAL;SUV
JS2;JAC;SUV
KANGOO;RENAULT;Van
KICKS;NISSAN;SUV
KONA;HYUNDAI;SUV
KWID;RENAULT;Hatchback
L-200;MITSUBISHI;Pick-up
LANDTREK;PEUGEOT;Pick-up
MOBI;FIAT;Hatchback
MONTANA;CHEVROLET;Pick-up
MORNING;KIA;Hatchback
MUSSO;SSANGYONG;Pick-up
NAVARA;NISSAN;Pick-up
NIVUS;VOLKSWAGEN;SUV
ONIX;CHEVROLET;Sedán
OUTLANDER;MITSUBISHI;SUV
PICANTO;KIA;Hatchback
POER;GREAT WALL;Pick-up
QASHQAI;NISSAN;SUV
RAIZE;TOYOTA;SUV
RANGER;FORD;Pick-up
RAV4;TOYOTA;SUV
RENEGADE;JEEP;SUV
RIO;KIA;Hatchback
SAIL;CHEVROLET;Sedán
SANDERO;RENAULT;Hatchback
S-CROSS;SUZUKI;SUV
SELTOS;KIA;SUV
SENTRA;NISSAN;Sedán
SILVERADO;CHEVROLET;Pick-up
SOLUTO;KIA;Sedán
SONET;KIA;SUV
SPORTAGE;KIA;SUV
S-PRESSO;SUZUKI;Hatchback
SWIFT;SUZUKI;Hatchback
T60;MAXUS;Pick-up
T8;JAC;Pick-up
TAOS;VOLKSWAGEN;SUV
T-CROSS;VOLKSWAGEN;SUV
TERRITORY;FORD;SUV
TIGGO 2;CHERY;SUV
TIGGO 5;CHERY;SUV
TIGGO 7;CHERY;SUV
TIGUAN;VOLKSWAGEN;SUV
TRACKER;CHEVROLET;SUV
TUCSON;HYUNDAI;SUV
VERSA;NISSAN;Sedán
VIGUS;JMC;Pick-up
VITARA;SUZUKI;SUV
WANGLE 5;GREAT WALL;Pick-up
WANGLE 7;GREAT WALL;Pick-up
X-TRAIL;NISSAN;SUV
YARIS;TOYOTA;Hatchback
ZS;MG;SUV
